표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
최고 지휘자 사망 뒤 기능별 임시 권한을 먼저 복구하고 법적 승계와 행동 신뢰의 충돌을 투표로 푸는 장면,REF-46,대원들은 지휘 공백과 탈출 불안 속에서 법적 차순위보다 실제로 위험을 돌파한 후보에게 신뢰를 건다. 법적 승계자는 공개 결과를 받아들이고 보좌권을 유지한다.,지휘관 사망 확인 → 조사 전문가에게 임시 권한 → 수뇌부 회의 소집 → 군법상 차순위 주장 → 실제 명령 가능성 질문 → 행동 기록 제시 → 전군 투표 → 과반 당선 → 지휘권 인수 → 기존 부지휘자 재임명,대표,2026년 8월 5일,준비,최고 지휘자를 잃은 탐사대 → 법적·실질 지휘 후보가 충돌하는 조직 → 공개 선택으로 지휘권과 보좌권을 재구성한 군대,"관계 형성, 권한·위계, 조직·제도, 평가·판정",Yes,"현장 후보 A, 법적 승계자 B, 조사 전문가 C, 전 대원 집단","604~605화 292,535~293,015행","최고 지휘자 사망 직후 조사 권한을 위임하고 수뇌부 회의를 소집하는 장면 (%EC%B5%9C%EA%B3%A0%20%EC%A7%80%ED%9C%98%EC%9E%90%20%EC%82%AC%EB%A7%9D%20%EC%A7%81%ED%9B%84%20%EC%A1%B0%EC%82%AC%20%EA%B6%8C%ED%95%9C%EC%9D%84%20%EC%9C%84%EC%9E%84%ED%95%98%EA%B3%A0%20%EC%88%98%EB%87%8C%EB%B6%80%20%ED%9A%8C%EC%9D%98%EB%A5%BC%20%EC%86%8C%EC%A7%91%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae817fb8abd7680a55e611.csv), 법적 승계와 실제 지휘 가능성의 충돌을 공개 투표로 풀고 보좌권을 재임명하는 장면 (%EB%B2%95%EC%A0%81%20%EC%8A%B9%EA%B3%84%EC%99%80%20%EC%8B%A4%EC%A0%9C%20%EC%A7%80%ED%9C%98%20%EA%B0%80%EB%8A%A5%EC%84%B1%EC%9D%98%20%EC%B6%A9%EB%8F%8C%EC%9D%84%20%EA%B3%B5%EA%B0%9C%20%ED%88%AC%ED%91%9C%EB%A1%9C%20%ED%92%80%EA%B3%A0%20%EB%B3%B4%EC%A2%8C%EA%B6%8C%EC%9D%84%20%EC%9E%AC%EC%9E%84%EB%AA%85%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81298ff8e2264133cefe.csv)",최고 지휘자가 사망했고 법적 승계권과 실제 명령 신뢰가 서로 다른 인물에게 있음,공개 투표 결과와 첫 재임명 명령으로 지휘·보좌 구조를 동시에 고정함,Yes,사망 → 임시 기능 → 승계 규칙 → 명령 가능성 → 행동 기록 → 투표 → 권한 확정,최고 지휘자의 사망과 출구 미개방을 확인하는 장면에서 시작함,높음,,,새 지휘자는 최종 책임을 인수한 뒤 기능별 책임자를 세워 명령 귀속점을 더 세분화함
이미 발생한 사망에도 임무를 속행하며 지휘관이 결정과 모든 희생 책임을 인수하는 장면,REF-46,수뇌부는 추가 희생을 두려워하지만 지휘관 A는 임무를 중단하지 않는다. 투표로 책임을 분산하지 않고 단독 결정과 결과 책임을 선언한다.,고위험 적 경고 → 기존 전사 7명 보고 → 손실 우려 → 임무 우선 선언 → 대상 선택 논쟁 → 투표 제안 → 책임 전가 비판 → 지휘관 정의 → 단독 결정 → 모든 책임 인수,실패,2026년 8월 5일,준비,손실 뒤 중단을 논의하는 수뇌부 → 단독 결정으로 임무를 지속하는 군대 → 책임 선언 아래 더 큰 손실 위험을 감수하는 편제,"권한·위계, 보호·희생, 전투·대결, 평가·판정",Yes,"지휘관 A, 수뇌부 B, 현장 전문가 C","556~557화 271,700~272,025행",기존 사망에도 임무를 속행하고 지휘관이 모든 결과 책임을 인수하는 장면 (%EA%B8%B0%EC%A1%B4%20%EC%82%AC%EB%A7%9D%EC%97%90%EB%8F%84%20%EC%9E%84%EB%AC%B4%EB%A5%BC%20%EC%86%8D%ED%96%89%ED%95%98%EA%B3%A0%20%EC%A7%80%ED%9C%98%EA%B4%80%EC%9D%B4%20%EB%AA%A8%EB%93%A0%20%EA%B2%B0%EA%B3%BC%20%EC%B1%85%EC%9E%84%EC%9D%84%20%EC%9D%B8%EC%88%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81a49618e3add52d2fc0.csv),이미 사망자가 있고 다음 전투 위험도 높지만 임무 지속 여부를 지휘관이 결정함,의견 수렴과 책임 분산을 거부하고 결과 책임을 지휘관 한 명에게 고정함,Yes,기존 손실 → 추가 위험 → 임무 우선 → 결정권 논쟁 → 책임 인수,다음 적이 최상위 위험일 수 있다는 경고와 전사 7명 보고에서 시작함,높음,,,실제 전투 뒤 대량 사망이 발생해 책임 선언이 보호 윤리가 아니라 손실 감수 권한이기도 했음을 드러냄
총 생존 수를 직군 분포와 손실 시점으로 다시 나눠 지원 붕괴가 전위 기능을 없앴다고 판정하는 장면,REF-46,"부지휘자 A는 절반 가까이 생존했다는 숫자에 안도하지 않고, 짧은 폭동 시간에 손실이 급증했고 근접 전사가 둘만 남았다는 보고에서 조직 붕괴를 본다.",장기 전투 손실 11명 → 지원 붕괴 뒤 5분 손실 비교 → 총 사망 27명 → 생존 23명 → 직군별 보고 → 근접 전사 둘 → 지원 단절 원인 → 전문 방어자 없음,대표,2026년 8월 5일,준비,대규모 피해를 입은 조직 → 절반 생존 집단 → 전위·방어 기능이 사라진 탈출 불능 조직,"위기·생존, 전투·대결, 조직·제도, 평가·판정",Yes,"부지휘자 A, 생존자 집단 B, 보호 대상 집단 C","67~68화 32,370~32,735행","장기 전투보다 지원 붕괴 뒤 짧은 시간 손실이 더 컸다고 비교하는 장면 (%EC%9E%A5%EA%B8%B0%20%EC%A0%84%ED%88%AC%EB%B3%B4%EB%8B%A4%20%EC%A7%80%EC%9B%90%20%EB%B6%95%EA%B4%B4%20%EB%92%A4%20%EC%A7%A7%EC%9D%80%20%EC%8B%9C%EA%B0%84%20%EC%86%90%EC%8B%A4%EC%9D%B4%20%EB%8D%94%20%EC%BB%B8%EB%8B%A4%EA%B3%A0%20%EB%B9%84%EA%B5%90%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81c69d5fd42b1c3ef0ec.csv), 총 사망과 생존 수 뒤에 직군 분포를 보고해 근접 전사 둘만 남았음을 확인하는 장면 (%EC%B4%9D%20%EC%82%AC%EB%A7%9D%EA%B3%BC%20%EC%83%9D%EC%A1%B4%20%EC%88%98%20%EB%92%A4%EC%97%90%20%EC%A7%81%EA%B5%B0%20%EB%B6%84%ED%8F%AC%EB%A5%BC%20%EB%B3%B4%EA%B3%A0%ED%95%B4%20%EA%B7%BC%EC%A0%91%20%EC%A0%84%EC%82%AC%20%EB%91%98%EB%A7%8C%20%EB%82%A8%EC%95%98%EC%9D%8C%EC%9D%84%20%ED%99%95%EC%9D%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae811ebf3ad021967b3906.csv), 생존자 총수보다 전문 방어 역할의 부재를 핵심 공백으로 판정하는 장면 (%EC%83%9D%EC%A1%B4%EC%9E%90%20%EC%B4%9D%EC%88%98%EB%B3%B4%EB%8B%A4%20%EC%A0%84%EB%AC%B8%20%EB%B0%A9%EC%96%B4%20%EC%97%AD%ED%95%A0%EC%9D%98%20%EB%B6%80%EC%9E%AC%EB%A5%BC%20%ED%95%B5%EC%8B%AC%20%EA%B3%B5%EB%B0%B1%EC%9C%BC%EB%A1%9C%20%ED%8C%90%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8149ab7dfe9f52dd21c8.csv)",생존 인원은 남았지만 폭동으로 특정 직군이 집중 손실됨,총수보다 비어 버린 전문 방어 역할을 다음 결정의 기준으로 확정함,Yes,손실 속도 → 총계 → 생존 수 → 직군 분포 → 원인 → 역할 공백,장기 전투보다 짧은 지원 붕괴 뒤 손실이 더 컸다는 비교에서 시작함,높음,,,후반 대규모 전투에서는 중심 방어자 부재 3분과 전사 21명을 직접 비교해 같은 역할 공백을 수치로 재검증함
모든 실패의 최종 책임을 지휘관에게 두고 직업별 총책임자·하위 파트장으로 명령 귀속점을 나누는 장면,REF-46,새 지휘관 A는 권한을 얻은 기쁨보다 사망과 계획 실패를 변명할 수 없다는 부담을 먼저 인식한다. 모든 세부를 직접 통제할 수 없기에 기능별 책임자를 세운다.,최종 책임 인식 → 기존 네 개 혼합 조 검토 → 균등 배치 장점 → 기능별 책임 불명확 → 전면 재배치 비용 판단 → 직업군 분류 → 총책임자 임명 → 연구·조사·전투 하위 파트 → 재량권 부여,대표,2026년 8월 5일,준비,투표로 선출된 새 지휘관 → 모든 실패의 최종 책임자 → 기능별 책임과 재량권을 분산한 명령 체계의 설계자,"권한·위계, 조직·제도, 평가·판정",Yes,"새 지휘관 A, 직업별 총책임자 B, 하위 파트장 C","606화 293,230~293,330행",모든 실패 책임을 지휘관에게 귀속한 뒤 혼합 조를 직업별 책임 구조로 재편하는 장면 (%EB%AA%A8%EB%93%A0%20%EC%8B%A4%ED%8C%A8%20%EC%B1%85%EC%9E%84%EC%9D%84%20%EC%A7%80%ED%9C%98%EA%B4%80%EC%97%90%EA%B2%8C%20%EA%B7%80%EC%86%8D%ED%95%9C%20%EB%92%A4%20%ED%98%BC%ED%95%A9%20%EC%A1%B0%EB%A5%BC%20%EC%A7%81%EC%97%85%EB%B3%84%20%EC%B1%85%EC%9E%84%20%EA%B5%AC%EC%A1%B0%EB%A1%9C%20%EC%9E%AC%ED%8E%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae815a9b49eccb8a543cd4.csv),기존 혼합 조는 전력 균형은 있으나 기능별 책임과 명령 귀속이 불명확함,최종 책임은 지휘관에게 남기고 실행 책임은 직업별·하위 파트별로 분산함,Yes,최종 책임 → 기존 구조 → 한계 → 재편 비용 → 직업 분류 → 총책임자 → 하위 파트 → 재량권,사람이 죽거나 계획이 실패하면 모두 지휘관 책임이라는 자기 판정에서 시작함,높음,,,새 책임 체계가 하급자의 실패를 위로 전가하거나 책임자에게 과도하게 집중시키는지는 미확인임
파손된 관측 장비의 실패를 충격·수압·내구도 요구 사양으로 바꾸는 장면,REF-46,조사대는 영상이 사라진 허탈함을 겪지만 실패 원인을 장비의 환경 한계로 분리해 귀환 후 제작 과제로 남긴다.,사람 대신 장비 실험 → 상공 발사 → 낙하 충격 파손 → 심해 투하 → 수압·내구도 파손 → 기록 소실 → 원인 분리 → 차세대 장비 요구 → 귀환 후 제작 과제,대표,2026년 8월 5일,준비,접근 불가능한 목표를 가진 조사대 → 관측 장비까지 잃은 실패한 실험자들 → 환경 요구 사양을 가진 개발 의뢰자,"교육·전승, 성장·실패, 정보·비밀",Yes,"조사 책임자 A, 실험자 집단 B, 제작 조직 C","609~610화 294,703~294,765행",상공·심해 기록 장치가 충격과 수압으로 파손돼 차세대 장비 요구 사양으로 바뀌는 장면 (%EC%83%81%EA%B3%B5%C2%B7%EC%8B%AC%ED%95%B4%20%EA%B8%B0%EB%A1%9D%20%EC%9E%A5%EC%B9%98%EA%B0%80%20%EC%B6%A9%EA%B2%A9%EA%B3%BC%20%EC%88%98%EC%95%95%EC%9C%BC%EB%A1%9C%20%ED%8C%8C%EC%86%90%EB%8F%BC%20%EC%B0%A8%EC%84%B8%EB%8C%80%20%EC%9E%A5%EB%B9%84%20%EC%9A%94%EA%B5%AC%20%EC%82%AC%EC%96%91%EC%9C%BC%EB%A1%9C%20%EB%B0%94%EB%80%8C%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81f8be5fd7b621748b8b.csv),사람이 접근할 수 없는 환경을 기록 장치로 관측하지만 장치가 환경을 견디지 못함,영상 획득 실패를 다음 도구의 환경 내구 요구로 남김,Yes,대체 장비 → 파손 환경 → 기록 소실 → 원인 분리 → 요구 사양,자율 실험 권한을 얻은 조사대가 상공과 심해에 기록 장치를 보내는 장면에서 시작함,높음,,,새 장치가 실제 제작되는지와 실패 실험의 장비 한도를 정하는 공식 규칙은 미확인임
최초 생존자 한 명부터 구조해 각성 조건을 얻고 최소 병력·분업 능력을 단계적으로 늘리는 장면,REF-46,구조자 A는 전원을 당장 찾을 수 없는 불안을 견디고 눈앞의 한 명을 살린다. 구조 인원이 늘 때마다 현장 대기·정보 수집·수색 역할을 새로 연다.,자동 이송 관찰 → 첫 동료 회수 → 각성 방법 시험 → 사고 정보 확보 → 한 명씩 이송 확인 → 현장 대기 → 반복 구조 → 기억 편차 기록 → 열 명 이상 확보 → 현장 책임 인계 → 조사·수색 분업,대표,2026년 8월 5일,준비,혼자 남은 구조자 → 최초 생존자와 사고 구조를 아는 두 명 → 최소 병력과 분업 능력을 가진 구조대,"보호·희생, 위기·생존, 정보·비밀, 조직·제도",Yes,"구조자 A, 첫 생존자 B, 구조된 동료들 C","616~617화 297,400~297,931행","정신 지배 상태의 동료 한 명을 구출해 사고 구조와 각성 조건을 처음 확인하는 장면 (%EC%A0%95%EC%8B%A0%20%EC%A7%80%EB%B0%B0%20%EC%83%81%ED%83%9C%EC%9D%98%20%EB%8F%99%EB%A3%8C%20%ED%95%9C%20%EB%AA%85%EC%9D%84%20%EA%B5%AC%EC%B6%9C%ED%95%B4%20%EC%82%AC%EA%B3%A0%20%EA%B5%AC%EC%A1%B0%EC%99%80%20%EA%B0%81%EC%84%B1%20%EC%A1%B0%EA%B1%B4%EC%9D%84%20%EC%B2%98%EC%9D%8C%20%ED%99%95%EC%9D%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8168aee6d9373e73615a.csv), 운반 장치 파괴가 자동 수리로 무력화되자 수리 시간 관측과 현장 대기 구조로 바꾸는 장면 (%EC%9A%B4%EB%B0%98%20%EC%9E%A5%EC%B9%98%20%ED%8C%8C%EA%B4%B4%EA%B0%80%20%EC%9E%90%EB%8F%99%20%EC%88%98%EB%A6%AC%EB%A1%9C%20%EB%AC%B4%EB%A0%A5%ED%99%94%EB%90%98%EC%9E%90%20%EC%88%98%EB%A6%AC%20%EC%8B%9C%EA%B0%84%20%EA%B4%80%EC%B8%A1%EA%B3%BC%20%ED%98%84%EC%9E%A5%20%EB%8C%80%EA%B8%B0%20%EA%B5%AC%EC%A1%B0%EB%A1%9C%20%EB%B0%94%EA%BE%B8%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81c7be0bdd6983c0e4f7.csv), 한 명씩 구조해 최소 병력을 확보한 뒤 현장 대기·주변 조사·본격 수색을 분업하는 장면 (%ED%95%9C%20%EB%AA%85%EC%94%A9%20%EA%B5%AC%EC%A1%B0%ED%95%B4%20%EC%B5%9C%EC%86%8C%20%EB%B3%91%EB%A0%A5%EC%9D%84%20%ED%99%95%EB%B3%B4%ED%95%9C%20%EB%92%A4%20%ED%98%84%EC%9E%A5%20%EB%8C%80%EA%B8%B0%C2%B7%EC%A3%BC%EB%B3%80%20%EC%A1%B0%EC%82%AC%C2%B7%EB%B3%B8%EA%B2%A9%20%EC%88%98%EC%83%89%EC%9D%84%20%EB%B6%84%EC%97%85%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8144ae25ce01e854ce4c.csv)",남은 인원 위치를 모르며 위험 시스템이 한 명씩 동료를 이송함,구조 인원 증가에 따라 대기·조사·수색을 동시에 수행할 수 있게 됨,Yes,최초 구조 → 각성 조건 → 이송 규칙 → 반복 구조 → 표본 → 최소 병력 → 분업,정신 지배된 첫 동료가 위험 장치로 이동하는 장면에서 시작함,높음,,,경로 역추적 실패 뒤 전체 지도를 만드는 단계로 구조 능력이 다시 확장됨
안전 약속을 어긴 추가 탐사가 지휘·구조 능력을 상실시키는 과잉 탐사 반례 장면,REF-46,탐사자 A는 새 공간과 장치를 확인하고 싶은 욕망 때문에 대기 약속을 미룬다. 짧은 확인이라 합리화한 선택이 장기간 의식 상실로 돌아온다.,대기 약속 → 숨은 공간 발견 → 더 살펴볼 유혹 → 약속 연기 → 미확인 장치 접촉 → 의식 상실 → 장기간 경과 → 홀로 각성 → 동료·지휘 상태 불명,실패,2026년 8월 5일,준비,지휘와 구조를 맡은 탐사자 → 추가 발견에 집착한 개인 탐사자 → 조직 기능을 잃게 만든 구조 대상,"권한·위계, 성장·실패, 위기·생존",Yes,"탐사자 A, 대기 동료 B, 미확인 장치","614화 296,555~296,880행",대기 약속을 무시한 탐사자가 위험 장치를 건드려 장기간 의식을 잃는 과잉 탐사 반례 (%EB%8C%80%EA%B8%B0%20%EC%95%BD%EC%86%8D%EC%9D%84%20%EB%AC%B4%EC%8B%9C%ED%95%9C%20%ED%83%90%EC%82%AC%EC%9E%90%EA%B0%80%20%EC%9C%84%ED%97%98%20%EC%9E%A5%EC%B9%98%EB%A5%BC%20%EA%B1%B4%EB%93%9C%EB%A0%A4%20%EC%9E%A5%EA%B8%B0%EA%B0%84%20%EC%9D%98%EC%8B%9D%EC%9D%84%20%EC%9E%83%EB%8A%94%20%EA%B3%BC%EC%9E%89%20%ED%83%90%EC%82%AC%20%EB%B0%98%EB%A1%80%203b3baa79eaae81e4987ce85350f84fe5.csv),새 공간은 발견했지만 위험 평가와 동료 대기 약속을 지키지 않음,탐사 진척처럼 보인 선택이 장기간의 지휘·구조 공백으로 바뀜,Yes,약속 → 발견 → 합리화 → 접촉 → 사고 → 시간 손실 → 기능 상실,동료에게 잠깐 확인하고 돌아오겠다고 약속한 장면에서 시작함,높음,,,이후 구조는 전원 직행이 아니라 최초 생존자·최소 병력·공용 지도 순으로 안전 능력을 복구함
분기 폭증 때문에 직접 경로 추적을 폐기하고 전체 지도를 만든 뒤 목표 부재로 지도 전제를 수정하는 장면,REF-46,탐사자 A는 목표를 빨리 찾고 싶지만 수백 갈래 경로를 좇는 비효율을 인정한다. 지도 완성 후에도 목표가 없자 실패를 절망이 아니라 기존 모델의 전제 오류로 읽는다.,경로 역추적 → 분기 폭증 → 방법 폐기 → 층별 전체 지도 → 완성도 100% → 목표 부재 → 지도 모델 검토 → 숨은 공간 가설 → 이음새·홈·독립 관찰 수색,대표,2026년 8월 5일,준비,목표 경로를 직접 쫓는 탐사자 → 전체 공간 모델을 가진 조사자 → 지도 밖 공간을 탐색하는 가설 수정자,"성장·실패, 정보·비밀, 평가·판정",Yes,"탐사자 A, 기억 보조자 B, 독립 관찰자 C","617화 297,940~298,221행","경로 역추적이 분기 폭증으로 비효율적임을 확인하고 전체 지도 제작으로 전환하는 장면 (%EA%B2%BD%EB%A1%9C%20%EC%97%AD%EC%B6%94%EC%A0%81%EC%9D%B4%20%EB%B6%84%EA%B8%B0%20%ED%8F%AD%EC%A6%9D%EC%9C%BC%EB%A1%9C%20%EB%B9%84%ED%9A%A8%EC%9C%A8%EC%A0%81%EC%9E%84%EC%9D%84%20%ED%99%95%EC%9D%B8%ED%95%98%EA%B3%A0%20%EC%A0%84%EC%B2%B4%20%EC%A7%80%EB%8F%84%20%EC%A0%9C%EC%9E%91%EC%9C%BC%EB%A1%9C%20%EC%A0%84%ED%99%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae810c922cf03368e9c279.csv), 지도 100% 완성에도 목표가 없자 지도 전제를 폐기하고 숨은 공간 가설로 전환하는 장면 (%EC%A7%80%EB%8F%84%20100%25%20%EC%99%84%EC%84%B1%EC%97%90%EB%8F%84%20%EB%AA%A9%ED%91%9C%EA%B0%80%20%EC%97%86%EC%9E%90%20%EC%A7%80%EB%8F%84%20%EC%A0%84%EC%A0%9C%EB%A5%BC%20%ED%8F%90%EA%B8%B0%ED%95%98%EA%B3%A0%20%EC%88%A8%EC%9D%80%20%EA%B3%B5%EA%B0%84%20%EA%B0%80%EC%84%A4%EB%A1%9C%20%EC%A0%84%ED%99%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81eeab08e848d416fcd0.csv), 별도 관찰자의 출구·벽 홈·열리지 않는 문과 과거 카드를 결합하는 장면 (%EB%B3%84%EB%8F%84%20%EA%B4%80%EC%B0%B0%EC%9E%90%EC%9D%98%20%EC%B6%9C%EA%B5%AC%C2%B7%EB%B2%BD%20%ED%99%88%C2%B7%EC%97%B4%EB%A6%AC%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EB%AC%B8%EA%B3%BC%20%EA%B3%BC%EA%B1%B0%20%EC%B9%B4%EB%93%9C%EB%A5%BC%20%EA%B2%B0%ED%95%A9%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae815796f3f3653570b312.csv)",직접 경로가 폭발적으로 분기하고 가시 공간을 모두 지도화해도 목표가 없음,목표 부재를 숨은 공간 전제와 독립 단서 결합으로 전환함,Yes,분기 → 폐기 → 전체 모델 → 100% 실패 → 전제 수정 → 별도 단서,수백 경로를 역주행하다 하나가 수십 갈래로 갈라지는 장면에서 시작함,중간,,,벽 이음새·홈·카드가 결합되며 시험 가능한 비밀 통로 가설로 이어짐
독립 단서를 결합해 관제권을 얻고 위험 제한 실험·전 경로 정지·직접 수색으로 구조 규모를 확장하는 장면,REF-46,두 탐사자는 숨은 관제실을 찾았어도 무작위 조작을 피한다. 동료와 먼 화면부터 시험하고 희생자를 미끼로 쓰는 빠른 해법을 거부한다.,이음새·홈·카드 결합 → 비밀 통로 → 관제실 → 화면으로 목표 구조 확인 → 먼 화면부터 시험 → 버튼 기능 매핑 → 미확인 기능 보류 → 희생 미끼안 거절 → 전 경로 정지 → 전원 직접 수색 → 숨은 대기실 구조 → 후유증 확인,대표,2026년 8월 5일,준비,지도 밖 목표를 추정하는 탐사자들 → 운영 구조를 보는 관제자들 → 전체 구조 작전을 통제하는 지휘자들,"권한·위계, 보호·희생, 위기·생존, 정보·비밀",Yes,"탐사자 A, 관찰자 B, 구조 집단 C","617~620화 298,225~299,145행","이음새·홈·카드를 결합해 관제실을 발견하고 문 없는 목표 공간 구조를 확인하는 장면 (%EC%9D%B4%EC%9D%8C%EC%83%88%C2%B7%ED%99%88%C2%B7%EC%B9%B4%EB%93%9C%EB%A5%BC%20%EA%B2%B0%ED%95%A9%ED%95%B4%20%EA%B4%80%EC%A0%9C%EC%8B%A4%EC%9D%84%20%EB%B0%9C%EA%B2%AC%ED%95%98%EA%B3%A0%20%EB%AC%B8%20%EC%97%86%EB%8A%94%20%EB%AA%A9%ED%91%9C%20%EA%B3%B5%EA%B0%84%20%EA%B5%AC%EC%A1%B0%EB%A5%BC%20%ED%99%95%EC%9D%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81f1bb65e10e04b36389.csv), 관제 장치를 먼 화면부터 시험해 기능을 매핑하고 전 경로 정지·직접 수색을 선택하는 장면 (%EA%B4%80%EC%A0%9C%20%EC%9E%A5%EC%B9%98%EB%A5%BC%20%EB%A8%BC%20%ED%99%94%EB%A9%B4%EB%B6%80%ED%84%B0%20%EC%8B%9C%ED%97%98%ED%95%B4%20%EA%B8%B0%EB%8A%A5%EC%9D%84%20%EB%A7%A4%ED%95%91%ED%95%98%EA%B3%A0%20%EC%A0%84%20%EA%B2%BD%EB%A1%9C%20%EC%A0%95%EC%A7%80%C2%B7%EC%A7%81%EC%A0%91%20%EC%88%98%EC%83%89%EC%9D%84%20%EC%84%A0%ED%83%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81a298d3e31bad68802b.csv), 공용 지도와 정지된 경로로 숨은 대기실을 찾아 구조하고 변환 후유증을 확인하는 장면 (%EA%B3%B5%EC%9A%A9%20%EC%A7%80%EB%8F%84%EC%99%80%20%EC%A0%95%EC%A7%80%EB%90%9C%20%EA%B2%BD%EB%A1%9C%EB%A1%9C%20%EC%88%A8%EC%9D%80%20%EB%8C%80%EA%B8%B0%EC%8B%A4%EC%9D%84%20%EC%B0%BE%EC%95%84%20%EA%B5%AC%EC%A1%B0%ED%95%98%EA%B3%A0%20%EB%B3%80%ED%99%98%20%ED%9B%84%EC%9C%A0%EC%A6%9D%EC%9D%84%20%ED%99%95%EC%9D%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8147bec4e8679fef6278.csv)",숨은 운영 공간과 미확인 제어 장치를 찾았지만 오조작 위험이 큼,관제권·공용 지도·직접 수색으로 동료를 구출하고 후유증을 새 조사 과제로 남김,Yes,단서 결합 → 운영 구조 → 안전 실험 → 기능 지도 → 윤리 선택 → 통제권 → 구조 → 후유증,완성 지도에 없던 벽 이음새와 카드 홈을 시험하는 장면에서 시작함,높음,,,기존 공용 지도 Macro와 결합해 개인 발견이 매일 갱신되는 조직 자산으로 확장됨
도달 한계를 확인한 탐사를 같은 방식으로 반복하지 않고 새 환경과 관측 항목으로 전환하는 장면,REF-46,지휘자 A는 실패를 만회하려는 조급함보다 현재 수단의 한계를 인정한다. 다른 환경을 시험하고 첫 목격에는 재시험·복수 관찰·영상 기록을 덧붙인다.,직접 도달 실패 → 산소 한계 기록 → 동일 잠수 중단 → 상공 탐사 전환 → 높이·돌풍 기록 → 첫 목격 → 착각 가능성 → 휴식 뒤 재시험 → 두 번째 목격 → 흐릿한 기록 → 자율 조사권,대표,2026년 8월 5일,준비,목표 위치를 모르는 탐사대 → 두 환경의 도달 한계를 아는 조사대 → 새 관측과 실험 권한을 가진 탐사 조직,"권한·위계, 성장·실패, 시간·기다림, 정보·비밀",Yes,"지휘자 A, 조사 책임자 B, 조사대 C","608~609화 294,430~294,619행","심해 탐사에서 도달 한계만 확인하고 같은 방식의 재시도를 중단하는 장면 (%EC%8B%AC%ED%95%B4%20%ED%83%90%EC%82%AC%EC%97%90%EC%84%9C%20%EB%8F%84%EB%8B%AC%20%ED%95%9C%EA%B3%84%EB%A7%8C%20%ED%99%95%EC%9D%B8%ED%95%98%EA%B3%A0%20%EA%B0%99%EC%9D%80%20%EB%B0%A9%EC%8B%9D%EC%9D%98%20%EC%9E%AC%EC%8B%9C%EB%8F%84%EB%A5%BC%20%EC%A4%91%EB%8B%A8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81e0b645cb6d000c5644.csv), 상공 실패 뒤 높이·환경·복수 목격·흐릿한 기록을 추가하고 자율 조사권을 주는 장면 (%EC%83%81%EA%B3%B5%20%EC%8B%A4%ED%8C%A8%20%EB%92%A4%20%EB%86%92%EC%9D%B4%C2%B7%ED%99%98%EA%B2%BD%C2%B7%EB%B3%B5%EC%88%98%20%EB%AA%A9%EA%B2%A9%C2%B7%ED%9D%90%EB%A6%BF%ED%95%9C%20%EA%B8%B0%EB%A1%9D%EC%9D%84%20%EC%B6%94%EA%B0%80%ED%95%98%EA%B3%A0%20%EC%9E%90%EC%9C%A8%20%EC%A1%B0%EC%82%AC%EA%B6%8C%EC%9D%84%20%EC%A3%BC%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81c8b35ff8a4214277e0.csv)",현재 수단으로 심해·상공 목표에 직접 도달하지 못하지만 도달 한계와 목격은 기록 가능함,같은 실패 반복을 멈추고 복수 관측·기록·현장 자율 실험으로 탐색 방식을 바꿈,Yes,한계 → 방법 중단 → 새 환경 → 관측 항목 → 복수 증거 → 권한 확대,닻과 특수 잠수대가 모두 바닥에 닿지 못하는 장면에서 시작함,높음,,,관측 장비 파손은 다음 세대 장치가 견뎌야 할 환경 조건으로 전환됨
