장면명,REF 코드,관찰 좌표,내부 위치,마지막 검토,상태,식별자 비노출,역할 표기,연결 장면,원문 확보,장면 역할,장면 조건,표면 모방 위험
가면 반응과 진입 시기·성장·과거 취향·습관을 합쳐 정체를 판정하는 장면,REF-46,시간·성장·취향의 장기 증거에 가면을 본 순간 반응과 놀랄 때 눈을 감는 습관을 더해 마지막 확신을 얻는다.,"646~647화 309,563~309,761행",2026년 8월 5일,준비,Yes,"현지 신분의 주인공, 과거 지인 A, 가면 B",숫자로 맞히되 원인을 오해한 추론 / 선택적 공개,Yes,"대비, 핵심",현지 신분과 과거 신분을 직접 연결할 단일 암구호가 없음,높음
진실 장치의 제작자 권한을 의심하고 제3자 검증 능력을 추가하는 장면,REF-46,진실 장치를 제시해도 제작자가 조작할 수 있다는 의심이 남는다. 장치 외에 독립 검증자의 이의 제기 능력이 협상된다.,"307화 152,119~152,251행",2026년 8월 5일,준비,Yes,"질문자 A, 제작자 B, 판정 장치",질문 교환비와 예·아니오 설계,Yes,"대비, 선행",서로를 믿지 않는 두 사람이 진실 장치로 정보를 교환하려 함,높음
익명 정보 시장에서 지식을 팔되 현실 접점과 거래 흔적을 제한하는 장면,REF-46,지식은 판매하지만 현실 물품·충전·대량 판매는 신분 추적 위험 때문에 거부한다. 신뢰는 개인 명성이 아니라 추방 제도가 보증한다.,"92~93화 44,691~44,857행",2026년 8월 5일,준비,Yes,"익명 판매자, 정보 시장, 구매자들",다자 정보 제출 규칙,Yes,"대비, 핵심",익명 지식은 수익화할 수 있지만 현실 거래와 거래량이 신분 단서가 됨,중간
새 성장 자원의 결손 재생을 몸으로 확인한 뒤 기존 손해 판정을 뒤집는 장면,REF-46,수치 손해를 계산하던 중 신체 결손이 즉시 회복된다. 설명문보다 몸의 반응이 먼저 이전 판정을 수정한다.,"859화 396,748~396,926행",2026년 8월 5일,준비,Yes,"주인공, 외부 존재 A, 새 성장 자원",재생 상실 확인 / 새 조합 장부화 / 보스전 검증,Yes,"핵심, 후속",수치 손해는 명확하지만 고유 능력의 실전 효과는 미확인,높음
극재생으로 보스 공격을 단독 감당하고 누적 피해를 숨은 반격 단계로 바꾸는 장면,REF-46,동료들의 역할 수행을 믿고 보스 공격을 독점한다. 반복 결손과 재생으로 쌓인 피해가 장비의 숨은 반격 조건을 충족한다.,"909~910화 417,181~418,127행",2026년 8월 5일,준비,Yes,"주인공, 원정대 본대, 보스, 장비 효과",극재생 개편 / 사용 효과 봉인 카운터,Yes,"핵심, 후속",한 명이 보스의 공격과 주의를 장시간 받아내야 본대가 역할을 수행할 수 있음,높음
재생 상실 뒤 포션 담당·후열 보호·근접 공격 위치를 다시 짜 새 역할을 검증하는 장면,REF-46,개인 능력 변화가 지원 담당과 진형 전체를 바꾼다. 주인공은 통로를 점유하고 동료들의 포션·후열 보호·짧은 진입에 의존한다.,"140화 67,619~67,823행",2026년 8월 5일,준비,Yes,"주인공, 적대자 A, 마법사 B, 방패 동료 C, 지원자 D, 근접 동료 E",사라진 재생 확인 / 치유 자원 배분,Yes,"핵심, 후속",자연 회복을 잃은 상태에서 빠른 상위 적과 장기전을 버텨야 함,높음
사용 효과 봉인 환경에서 새 빌드의 카운터를 인정하고 혼자 유지할 수 없다고 보고하는 장면,REF-46,자신의 능력으로 기믹을 막을 수 있는지 현장에서 확인한 뒤 불가능하다고 판정하고 퇴각을 받아들인다.,"910~911화 418,208~418,460행",2026년 8월 5일,준비,Yes,"주인공, 지휘 동료 A, 마법사·신관·원정대",압도적 유지력 / 다른 필드에서의 재발견,Yes,"대비, 실패",사용 효과와 재생을 제한하는 필드·기믹이 등장함,높음
생명력 소모 필드와 극재생의 연쇄를 발견해 동료 투입을 막고 혼자 보스를 붙잡는 장면,REF-46,정신 내성·결손 재생·몬스터 적용 규칙을 조합해 일반 파티원에게 치명적인 필드를 혼자 감당하는 해법으로 바꾼다.,"917화 421,041~421,305행",2026년 8월 5일,준비,Yes,"주인공, 원정대 동료들, 생명력 소모 필드, 보스",사용 효과 봉인 카운터 / 극재생 장부화,Yes,"대비, 후속",필드가 모두의 생명력을 태우지만 주인공에게 극재생과 정신 내성의 조합이 있음,높음
자기 치유를 요구하지 않고 생명력을 방어 자원으로 태워 더 많은 사람을 살리는 장면,REF-46,"자신에게 치유를 몰면 더 안전함을 알면서도 요구하지 않고, 생명력 감소를 방어력과 구조 가능성으로 바꾼다.","222화 109,141~109,239행",2026년 8월 5일,준비,Yes,"주인공, 핵심 동료들, 신관과 전사들",첫 방패 선택 / 지원 의존 / 극재생 개편,Yes,"대비, 핵심",낯선 전사와 핵심 동료를 동시에 살려야 하고 치유 자원이 한정됨,높음
낮은 생존 확률을 올리기 위해 현재도 유용한 코어를 희생해 상위 선택지를 여는 장면,REF-46,쓸모없는 자원이 아니라 현재 역할의 핵심 장점을 가진 자원을 버려 더 높은 생존 가능성을 선택한다.,"138~139화 66,821~67,047행",2026년 8월 5일,준비,Yes,"주인공, 적대자 A, 동료들, 교체 장치",슬롯 훼손 손해 / 사라진 재생 확인,Yes,"대비, 핵심",현재 생존 확률이 낮고 유용한 코어를 희생해야만 상위 선택지가 열림,높음
극단적 재생의 생명력 비용과 포기 슬롯을 장부화하고 새 역할의 고점을 다시 설계하는 장면,REF-46,"강력한 회복 직후 비용·포기한 장점·즉사 예외를 다시 계산하고, 무적감보다 실종 동료 수색 목표를 우선한다.","859화 396,928~397,040행",2026년 8월 5일,준비,Yes,"주인공, 실종 동료들, 성장 후보군",결손 재생 확인 / 카운터 검증,Yes,"대비, 핵심",새 능력이 강하지만 생명력 비용·포기 슬롯·즉사 예외가 남음,높음
신체 변화에 맞춰 수복·형상·내성까지 생활 장비를 다시 설계하는 장면,REF-46,"능력 변화가 장비를 찢고 부식시키는 문제를 일상 대화로 드러낸 뒤, 맞춤 장비와 복구 기능에 비용을 선지불한다.","77화 37,331~37,397행",2026년 8월 5일,준비,Yes,"주인공, 동료 A",첫 역할 선택 / 코어 교체 뒤 전술 재설계,Yes,"대비, 후속",신체 확대와 부식 효과 때문에 기존 의복·장비를 그대로 쓸 수 없음,중간
새 능력 목록 직후 자기 몸을 그어 사라진 재생을 확인하고 조합을 다시 계산하는 장면,REF-46,"상승 수치 설명 뒤 직접 상처를 내 실제로 사라진 능력을 확인하고, 최종 조합을 고정 정답이 아닌 후보군으로 되돌린다.","139화 67,049~67,167행",2026년 8월 5일,준비,Yes,"주인공, 잠든 동료들",코어 희생 / 포션·진형 의존 검증,Yes,"핵심, 후속",상위 능력을 얻었지만 기존 재생과 감각이 사라져 실제 변화량 검증이 필요함,높음
공격 취향을 버리고 생존 효율과 최종 역할을 기준으로 방패를 고르는 장면,REF-46,"반복 실패 뒤 ‘꼭 공격 역할이어야 하는가’를 묻고, 실험으로 검증된 생존 역할을 현실 선택에도 적용한다.",3화 651~715행,2026년 8월 5일,준비,Yes,"주인공, 같은 종족의 성인식 참가자들",보호 장비 구매 / 생명력을 방어 자원으로 쓰는 장면,Yes,"선행, 핵심",취향과 생존 효율이 충돌하며 시작 무기가 이후 역할을 잠금,중간
비동의 성장 자원을 희귀 보상이 아니라 슬롯 훼손과 삭제 비용으로 정산하는 장면,REF-46,"희귀성보다 계획되지 않은 슬롯 점유와 교체 비용을 손해로 판정하고, 외부 전문가의 기준으로 이를 검증한다.","41~42화 19,665~19,775행",2026년 8월 5일,준비,Yes,"주인공, 마법사 A, 외부 탐험가 B",코어 교체 / 새 성장 자원 손익 재판정,Yes,"대비, 핵심",타인이 생존을 위해 당사자 동의 없이 예정에 없던 희귀 성장 자원을 사용함,높음
잃은 장비와 기억이 복원됐지만 보존 원인은 확정하지 않는 장면,REF-46,장비·운송 수단·기억이 복구되지만 대체 육체 때문인지 생존 탈출 때문인지 구분하지 못해 가설로 남긴다.,"896화 412,624~412,678행",2026년 8월 5일,준비,Yes,"공략자, 대체 육체 도구, 동료들",영구 접근권 / 소모품 환급 투자,Yes,"미해결, 핵심",특수 지역에서 자원을 잃었으나 죽지 않고 탈출함,중간
이전 회차의 소망을 그대로 인정하지 않고 현재 당사자에게 다시 선택을 요구하는 장면,REF-46,평화로운 탈출 소망을 체념으로 보고 다시 묻는다. 힘이 없다는 고백 뒤 선택 책임을 제시하고 긴 침묵 끝에 현재 의사를 받는다.,"913화 419,394~419,498행",2026년 8월 5일,준비,Yes,"공략자, 현재 현지 인물 A, 원본 인물 A",기억 비대칭 / 쉬운 종료 거절 / 새 목표 공론화,Yes,"대비, 핵심",이전 답변이 현재 당사자의 진짜 선택인지 체념인지 불명확함,높음
2회차 진입에서 1회차 경로 지식으로 이동과 질문을 압축하는 장면,REF-46,지역은 초기화됐지만 공략자의 길·시간·질문 순서 기억이 남아 1회차의 긴 탐색을 속도 자산으로 바꾼다.,"902~903화 414,700~415,120행",2026년 8월 5일,준비,Yes,"공략자, 원정대, 초기화 지역",리셋 가설 / 복원된 지역 확인,Yes,"대비, 핵심",지역 사건은 초기화됐지만 공략자 기억은 누적됨,중간
1회차 정보를 보증금과 참여 조건으로 바꾸고 환급 규칙으로 외부 투자를 끌어내는 장면,REF-46,정보 독점을 무료 브리핑으로 풀지 않고 보증금과 참여 조건으로 바꾼다. 소모 자원 환급 증거가 희귀 병기 투자를 가능하게 한다.,"899화 413,629~413,920행",2026년 8월 5일,준비,Yes,"공략자, 복수 집단 대표들",연구 가설 / 공략대 완성,Yes,"핵심, 후속",고위험 지역에 외부 전력·희귀 자원이 필요하고 1회차 정보는 공략자가 독점함,높음
파편 유물과 항해 기록을 대조해 적·약점·출현 조건 후보를 만드는 장면,REF-46,현장 기억과 직접 연결되지 않던 표류기·지도·유물을 대조해 전투력·약점·출현 조건의 검증 후보를 만든다.,"900화 414,020~414,125행",2026년 8월 5일,준비,Yes,"공략자, 연구자 A, 파편 기록들",민간 조사 / 전략 설계,Yes,"대비, 핵심",1회차 경험만으로 지역의 과거와 보스 조건을 설명할 수 없음,중간
복수 집단의 인력·희귀 자원·전략을 묶어 원하는 결말을 시도할 공략대를 완성하는 장면,REF-46,여러 집단의 인선과 전략 물자를 장부화해 불확실한 지역에서도 선택 가능한 전투 범위를 넓힌다.,"901~902화 414,585~414,613행",2026년 8월 5일,준비,Yes,"공략자, 네 집단의 공략대",투자 협상 / 2회차 속도전,Yes,"핵심, 후속",외부 세계에서 1회차보다 강한 전력과 희귀 자원을 준비할 수 있음,중간
기억 소실로 실패한 민간 조사에서 단서를 건진 연구자를 전속 정보 역할로 편입하는 장면,REF-46,다른 조사자들은 실패 때 기억을 잃었지만 연구자는 파편 단서를 남긴다. 공략자는 자기 경험을 제공하고 외부 자료 대조를 맡긴다.,"898화 413,410~413,503행",2026년 8월 5일,준비,Yes,"공략자, 연구자 A, 민간 조사대",유물 대조 / 종족 투자,Yes,"대비, 후속",공략자만 기억을 보존해 외부 조사와 문헌 대조가 필요함,중간
1회차의 긴 신뢰 루트를 폐기하고 군세와 점거 선언으로 정보 접근을 압축하는 장면,REF-46,과거의 고문·호감 형성 경로를 알고도 시간과 전력 차이 때문에 폐기하고 위협과 절차로 협상 위치를 바꾼다.,"904화 415,475~415,580행",2026년 8월 5일,준비,Yes,"공략자, 현지 지도자 A, 원정대",기억 기반 압축 / 현지 기억 부재,Yes,"이탈, 핵심",이전 신뢰 경로는 재현 가능하지만 대규모 전력과 시간 압박이 있음,높음
투자된 인원과 물자 때문에 철수가 어려워지고 복원된 지역으로 리셋을 확정하는 장면,REF-46,대규모 외부 준비는 선택지를 늘리지만 불확실성만으로 후퇴하기 어렵게 한다. 파괴된 지역의 복원은 리셋을 현장 증거로 확정한다.,"903~904화 415,300~415,465행",2026년 8월 5일,준비,Yes,"공략자, 원정대 지휘부, 복원된 지역",공략대 완성 / 과거 신뢰 루트 폐기,Yes,"대비, 실패",막대한 인력·물자를 투자했지만 내부 상황은 여전히 불확실함,중간
약한 대체 육체로 탈출해 기억·장비·영구 접근권을 보존하는 장면,REF-46,최종 전투 대신 현지 인물과 탈출을 택해 불완전 점수와 영구 재진입권을 얻는다. 사망 때 잃는 기억과 소지품이 생존 탈출에서는 남는다.,"895~896화 412,507~412,621행",2026년 8월 5일,준비,Yes,"공략자, 현지 인물 A, 시스템",장비·기억 복원 원인 보류 / 리셋 가설,Yes,"선행, 핵심",약한 대체 육체로 최종 전투는 불가능하지만 탈출 조건은 확보함,높음
높은 점수와 종료 제안을 현재 당사자의 불만족 표정 때문에 거절하는 장면,REF-46,시스템이 성공과 보상을 선언해도 당사자의 현재 표정과 미해결 사건을 근거로 종료 문구를 끊는다.,"912~913화 419,221~419,390행",2026년 8월 5일,준비,Yes,"공략자, 원본 현지 인물 A, 시스템",현재 소망 재확인 / 목표 공론화,Yes,"이탈, 핵심",형식상 성공했지만 현재 당사자의 만족과 미해결 사건이 남음,높음
공략자는 이전 관계를 기억하지만 현지 인물은 처음 보는 사람으로 대하는 장면,REF-46,공략자는 별명과 도움을 기억하지만 현지 인물은 누구냐고 묻는다. 기억 우위가 현재의 관계 동의를 자동으로 복원하지 않는다.,"907화 416,531~416,640행",2026년 8월 5일,준비,Yes,"공략자, 현지 인물 A, 연구원들",군세 접근 / 현재 욕망 재확인,Yes,"대비, 핵심",공략자만 이전 관계를 기억하고 현지 인물은 초기화됨,높음
외부 회의에서 지역 리셋과 불완전 탈출을 판정하고 다음 준비 방식을 바꾸는 장면,REF-46,"지역 소멸과 균열 구조를 대조해 리셋을 예측하고, 기억·장비 보존을 완전 공략이 아닌 탈출 보상으로 분리한다.","896화 412,820~412,880행",2026년 8월 5일,준비,Yes,"공략자, 탐사 전문가 A, 동료들",외부 투자 / 복원된 지역 확인,Yes,"핵심, 후속",첫 탈출 뒤 지역이 사라지고 완전 공략 보상은 없음,중간
개인의 현재 소망을 공략대의 새 목표로 번역해 탈출 중심 계획을 수정하는 장면,REF-46,"공략의 열쇠를 탈출에서 현재 소망으로 재정의하고, 개인의 선택을 다수 집단의 전략 목표로 번역한다.","913화 419,680~419,729행",2026년 8월 5일,준비,Yes,"공략자, 현지 인물 A, 원정대",현재 소망 재확인 / 후속 전투 루트,Yes,"대비, 후속",현재 당사자의 선택이 기존 탈출 계획과 충돌함,높음
생명력 소모 필드와 극재생의 연쇄를 발견해 동료를 빼고 혼자 보스를 붙잡는 장면,REF-46,일반적으로 불리한 생명력 소모 필드가 특정 재생 역할과 보스 적용 조건을 만나 공략 수단으로 바뀐다. 동료 투입을 금지하고 혼자 유지한다.,"917화 421,041~421,305행",2026년 8월 5일,준비,Yes,"주인공, 동료들, 보스 A",봉인 카운터 / 환경 적합성,Yes,"대비, 후속","생명력 소모 필드가 아군과 보스, 재생 사용자에게 다르게 작동함",높음
사용 효과 봉인 환경에서 새 빌드의 카운터를 인정하고 퇴각을 수용하는 장면,REF-46,핵심 보조 수단이 봉인되자 현장에서 불가능하다고 답하고 혼자 유지할 수 없음을 인정한다. 강함을 증명하려 하지 않고 작전 중단 근거로 사용한다.,"910~911화 418,208~418,460행",2026년 8월 5일,준비,Yes,"주인공, 지휘부, 보스 A",보스전 고점 / 환경 시너지 재발견,Yes,"대비, 실패",회복은 남아도 사용 효과 봉인과 변이 기믹 때문에 단독 유지가 불가능함,높음
보스 공격을 단독 감당하고 누적 피해를 동료 공격권과 반격 자원으로 바꾸는 장면,REF-46,회복 능력은 개인 불사 과시가 아니라 보스의 시선을 점유하고 동료 공격 시간을 만들며 누적 피해를 반격으로 환전하는 데 쓰인다.,"909~910화 417,181~418,127행",2026년 8월 5일,준비,Yes,"주인공, 본대, 보스 A",새 역할 손익 장부 / 사용 효과 봉인 카운터,Yes,"핵심, 후속",한 사람이 고위력 공격을 오래 받아내야 본대가 공격할 수 있음,높음
새 능력의 결손 재생을 몸으로 확인한 뒤 직전 손해 판정을 뒤집는 장면,REF-46,예상 밖 손실 때문에 새 선택을 의심하다가 신체 결손이 즉시 회복되는 순간 실전 가치를 확인하고 평가를 바꾼다.,"859화 396,748~396,926행",2026년 8월 5일,준비,Yes,"주인공, 동료 A, 능력 원형 존재",재생 상실 테스트 / 새 역할 손익 장부,Yes,"핵심, 후속",새 선택의 손실은 보였지만 핵심 효용은 실전 검증 전임,높음
비동의 희귀 보상을 슬롯 훼손과 삭제 비용으로 다시 정산하는 장면,REF-46,구해 준 보상이라는 평가와 당사자의 선택권 침해를 분리한다. 희귀성보다 예정된 조합 훼손과 복구 비용을 손해로 판정한다.,"41~42화 19,665~19,775행",2026년 8월 5일,준비,Yes,"주인공, 마법사 A, 외부 전문가 B",코어 교체 / 새 선택 손익 재판정,Yes,"대비, 핵심",타인이 생존을 위해 동의 없이 한정 슬롯을 점유시킴,높음
극단적 재생의 비용과 포기한 슬롯을 장부화하고 즉사 예외를 남기는 장면,REF-46,"압도적 장점만 선언하지 않고 재생 비용, 포기한 방어 능력, 즉사 가능성과 다음 슬롯을 함께 계산한다.","859화 396,928~397,040행",2026년 8월 5일,준비,Yes,"주인공, 동료 A",결손 재생 확인 / 보스전 유지력,Yes,"대비, 핵심",새 능력의 고점이 확인됐지만 포기 비용과 카운터가 남음,높음
생존 확률을 높이기 위해 현재도 유용한 코어를 희생하고 상위 선택지를 여는 장면,REF-46,쓸모없는 능력을 버리지 않고 현재도 유용한 보호 코어를 제물로 삼는다. 손실을 감수해야만 위기 탈출용 상위 선택지가 열린다.,"138~139화 66,821~67,047행",2026년 8월 5일,준비,Yes,"주인공, 적대자 A, 동료들",재생 상실 확인 / 새 의존 구조,Yes,"대비, 핵심",생존 확률이 매우 낮고 유용한 기존 코어를 버려야 상위 선택을 얻음,높음
능력 목록 직후 몸을 베어 사라진 재생을 확인하고 조합을 다시 계산하는 장면,REF-46,수치 상승 설명 직후 실제 상처가 낫지 않는지 시험한다. 손실을 몸으로 확인한 뒤 최종 조합과 장비·전투 방식을 다시 계산한다.,"139화 67,049~67,167행",2026년 8월 5일,준비,Yes,"주인공, 잠든 동료들",코어 희생 / 포션·진형 의존,Yes,"핵심, 후속",상위 능력을 얻었지만 기존 회복 능력의 상실 정도가 불명확함,높음
신체 변화 능력에 맞춰 일상 장비와 내성을 다시 설계하는 장면,REF-46,능력 사용 때 장비가 파손되는 문제를 일상 대화로 드러낸 뒤 수복·형상·내성 기능을 묶어 유지 비용을 선지불한다.,"77화 37,331~37,397행",2026년 8월 5일,준비,Yes,"주인공, 동료 A",첫 역할 선택 / 코어 교체 뒤 전술 재설계,Yes,"대비, 후속",새 능력이 기존 의복과 장비를 반복 파손함,중간
자기 생존용 치유를 요구하지 않고 생명력을 방어 자원으로 태우는 장면,REF-46,자신에게 치유를 몰면 더 안전하지만 한정 자원을 다른 전사들에게 남긴다. 낮은 생명력을 방어력과 구조 가능성으로 환산한다.,"222화 109,141~109,239행",2026년 8월 5일,준비,Yes,"주인공, 치유자 A, 원정대 전사들",첫 역할 선택 / 지원 의존 구조,Yes,"대비, 핵심",한정 치유 자원을 자신에게 쓰면 안전하지만 다른 구성원의 생존 가능성이 낮아짐,높음
재생 상실 뒤 포션 담당과 후열 보호 위치를 다시 짜 새 역할을 검증하는 장면,REF-46,공격력 상승만 보여 주지 않고 회복 부재 때문에 누가 포션을 쓰고 누가 후열을 지키며 누가 짧게 진입하는지 전투 배열을 바꾼다.,"140화 67,619~67,823행",2026년 8월 5일,준비,Yes,"주인공, 적대자 A, 근접 동료 B, 방패 동료 C, 지원자 D",손실 확인 / 치유 자원 배분,Yes,"핵심, 후속",자연 회복을 잃은 상태에서 장기전을 버텨야 함,높음
공격 취향을 버리고 생존 효율과 최종 역할을 기준으로 시작 무기를 고르는 장면,REF-46,"반복 실패 경험 뒤 ‘꼭 공격 역할이어야 하는가’를 묻고, 취향보다 생존과 장기 역할을 우선해 방패를 고른다.",3화 651~715행,2026년 8월 5일,준비,Yes,"주인공, 종족 공동체",보호 장비 재설계 / 생명력 자원화,Yes,"선행, 핵심",취향과 생존 효율이 충돌하고 첫 선택이 장기 역할을 고정함,중간
압도적 전투 권한을 보여 준 뒤 공유 기억과 행동으로 재회 상대를 판정하는 장면,REF-46,"옛 신입은 전쟁 영웅의 힘으로 먼저 등장하고, 과거 기억과 행동 기준을 대조해 상대를 같은 사람으로 인정한다.","338~339화 166,900~167,179행",2026년 8월 5일,준비,Yes,"귀환자 A, 옛 신입 B, 경쟁 동료 C",초기 역할 형성 / 경쟁자 제거 제안,Yes,"핵심, 후속",죽은 것으로 알려진 보호자와 압도적 권한을 얻은 신입이 재회함,높음
최상위 전투 권한의 효율과 충동·불신·자제력 저하 비용을 함께 계산하는 장면,REF-46,희귀 권한 조합의 전투 고점과 정신·관계 통제 비용을 같은 장부에 놓고 실제 전투로 양쪽을 검증한다.,"463화 228,540~228,750행",2026년 8월 5일,준비,Yes,"관찰자 A, 최상위 전투자 B, 계약 존재 C",전쟁 영웅 재회 / 통제 대면,Yes,"대비, 핵심",희귀 권한 조합으로 전투력은 극대화됐지만 정신 비용이 누적됨,높음
편지·장비·창문을 차단해 보호를 외부 활동권 박탈로 바꾸는 장면,REF-46,"훼손된 편지, 사라진 장비, 막힌 창문과 외출 불필요 선언이 보호 명분을 구체적 권리 침해로 바꾼다.","341화 167,975~168,140행",2026년 8월 5일,준비,Yes,"귀환자 A, 강한 보호자 B, 경쟁 동료 C",살해 금지 경계 / 통제 인정,Yes,"실패, 핵심",압도적 권한을 가진 보호자가 재상실을 막으려 연락·장비·외부 활동을 차단함,높음
관계 합의 뒤에도 막힌 창문이 남고 숨긴 장비만 반환되는 장면,REF-46,대화로 경계가 합의돼도 환경 통제와 불신의 흔적은 즉시 사라지지 않고 일부 권리만 복구된다.,"347화 170,331~170,379행",2026년 8월 5일,준비,Yes,"귀환자 A, 강한 보호자 B, 은거 공간",관계 경계 설정 / 후속 외부 활동 수용,Yes,"대비, 후속",통제 문제를 인정했지만 물리적 환경과 불신이 남음,높음
방치했던 동생과 상실 기억을 다시 말하고 서로 눈치를 보는 미완 가족 관계를 확인하는 장면,REF-46,잃은 가족과 탐험의 박탈을 다시 말하지만 자매는 작은 호의조차 주고받지 못해 회복이 아직 미완임을 보여 준다.,"779화 363,699~363,925행",2026년 8월 5일,준비,Yes,"언니 A, 동생 B, 동료 C, 사망한 가족 D",초기 가족 부양 욕망 / 공동체 비용 / 입지 개선,Yes,"대비, 핵심",복수와 전쟁 동안 멀어진 가족이 재회했지만 죄책감과 상실이 남음,높음
공공 권한을 버린 배신자 비난과 살해·회수 주장 앞에서 공개 경계를 긋는 장면,REF-46,"공동체는 떠난 인물의 공공 권한을 회수하려 살해까지 주장하고, 동료는 먼저 모욕과 위협을 멈춰 개인 선택의 안전선을 확보한다.","778화 363,287~363,430행",2026년 8월 5일,준비,Yes,"귀환한 인물 A, 동료 B, 종족 공동체",공동체 비용 인정 / 가족 회복,Yes,"핵심, 후속",공공 성격의 희귀 권한을 가진 인물이 공동체 의무를 떠남,높음
통제 문제를 인정하고 힘을 버리겠다는 순종을 거절해 선택권과 관계 경계를 남기는 장면,REF-46,강한 보호자가 문제를 인정하고 힘 전부를 포기하겠다고 하자 상대는 순종을 이용하지 않고 힘은 유지하되 경계를 지키라고 한다.,"346~347화 170,120~170,325행",2026년 8월 5일,준비,Yes,"귀환자 A, 강한 보호자 B, 경쟁 동료 C",외부 활동권 박탈 / 환경 통제 잔여,Yes,"대비, 핵심",상실로 얻은 힘이 관계 통제 수단으로 변질됐지만 당사자가 전면 순종을 제안함,높음
감지·사격 역할과 임시 배분 계약을 질문 순서로 정하는 장면,REF-46,위로보다 추격 정보·감지 거리·잘하는 일·살해 경험을 차례로 묻고 임시 역할과 배분을 정한다.,"10화 4,007~4,197행",2026년 8월 5일,준비,Yes,"보호자 A, 신입 B, 추격자들",첫 살해 인정 / 전투 성과·수익 확인,Yes,"선행, 핵심",신입의 정보·전투 역할·실행 가능성을 확인해야 동행을 결정할 수 있음,중간
부상한 신입이 부양할 가족을 이유로 생존을 요청하고 치료 자원만 먼저 받는 장면,REF-46,신입은 무릎 꿇고 살려 달라 요청하지만 동행권 대신 약과 붕대라는 최소 치료권만 먼저 받는다.,"8화 3,379~3,480행",2026년 8월 5일,준비,Yes,"보호자 A, 신입 B, 추격자들",역할·배분 계약 / 장기 부재 뒤 재회,Yes,"선행, 핵심",부상한 초보가 추격당하고 도시의 가족을 부양해야 함,중간
보호자에게 공동체 여론과 권력 구조를 묻고 입지 회복을 제도 과제로 바꾸는 장면,REF-46,가족 보호자는 개인 책임을 요구하고 나쁜 여론을 설명한다. 동료는 위로보다 권력 구조와 개선 방법을 물어 공동체 부채를 계획으로 전환한다.,"779~780화 363,979~364,050행",2026년 8월 5일,준비,Yes,"동료 A, 귀환한 인물 B, 가족 보호자 C",공개 모욕 / 공동체 비용 인정,Yes,"핵심, 후속",개인 선택을 보호하면서 공동체 손실과 여론 비용을 별도로 정산해야 함,중간
첫 살해 직후 망설이지 않은 판단을 짧게 인정하고 치료로 전환하는 장면,REF-46,감정 해설보다 망설였으면 위험했다는 판정과 짧은 칭찬을 먼저 줘 생존 행동을 역할 경험으로 바꾼다.,"10화 4,269~4,325행",2026년 8월 5일,준비,Yes,"보호자 A, 신입 B, 추격자 C",역할 계약 / 자원 제한 전투,Yes,"핵심, 후속",살해 경험 없는 신입이 즉시 사격해야 둘 다 생존함,높음
자원 제한 아래 자기 몫을 증명하고 가족을 위한 수익 가능성을 확인하는 장면,REF-46,신입은 고유 능력을 아끼고 기본 솜씨로 적을 잡아 인정받은 뒤 회수 자원과 약속된 몫을 가족 부양에 연결한다.,"11화 4,551~4,607행",2026년 8월 5일,준비,Yes,"보호자 A, 신입 B, 몬스터",역할 계약 / 후반 가족 부채,Yes,"대비, 핵심",보호받던 신입이 자원을 아끼면서 한 사람 몫을 증명해야 함,중간
보호 약속 직후 경쟁 동료 살해 제안에 즉시 금지 경계를 세우는 장면,REF-46,다시는 잃지 않겠다는 보호가 경쟁자 제거로 이어지자 이유 논쟁보다 살해 금지를 먼저 확정한다.,"340화 167,560~167,657행",2026년 8월 5일,준비,Yes,"귀환자 A, 강한 보호자 B, 경쟁 동료 C",연락·장비·창문 통제 / 통제 대면,Yes,"대비, 핵심",상실 강박을 가진 강자가 경쟁 동료를 재상실 위험으로 판정함,높음
개인 자유의 공동체 비용을 인정하고 방치한 가족 관계의 부분 회복을 확인하는 장면,REF-46,"떠난 인물은 공공 권한 손실과 회수 논리를 설명하고, 동료는 공동체 정산을 약속하며 가족과 다시 말하기 시작한 상태를 확인한다.","778~779화 363,599~363,691행",2026년 8월 5일,준비,Yes,"귀환한 인물 A, 동료 B, 동생 C, 공동체 조직",공개 모욕 차단 / 동생과 상실 대화,Yes,"대비, 핵심",개인 자유가 공동체 권한 손실과 가족 방치를 남김,높음
공식 초대장이 반조직 연대·보상 수용·유가족 이해를 동시에 호출하는 장면,REF-46,한 사람의 행사 참여가 개인 평판이 아니라 생존자 연대와 유가족 보상 여부에 영향을 준다.,"232화 115,780~115,815행",2026년 8월 5일,준비,Yes,"상징적 생존자 A, 공동체 원로 B, 생존자들, 유가족",회유 조건 / 유가족 잔여,Yes,"대비, 후속",공식 행사 참여가 복수 집단의 이해관계에 연결됨,중간
과거 작위가 전시 소집·군사 편입·탈영 처벌·조직원 보호 가능성으로 동시에 현실화되는 장면,REF-46,명예 칭호가 소집 족쇄가 되지만 작위가 남아야 조직원의 극형을 완화할 정치적 여지도 생긴다.,"706~707화 334,341~334,510행",2026년 8월 5일,준비,Yes,"작위 단장 A, 조직원들, 군 경험자 B, 공권력",초기 작위 회유 / 부단장 선출 / 후견 기대,Yes,"핵심, 후속",작위 귀족이 이끄는 조직이 전시 소집령을 늦게 확인함,높음
